"","1789-Washington","1793-Washington","1797-Adams","1801-Jefferson","1805-Jefferson","1809-Madison","1813-Madison","1817-Monroe","1821-Monroe","1825-Adams","1829-Jackson","1833-Jackson","1837-VanBuren","1841-Harrison","1845-Polk","1849-Taylor","1853-Pierce","1857-Buchanan","1861-Lincoln","1865-Lincoln","1869-Grant","1873-Grant","1877-Hayes","1881-Garfield","1885-Cleveland","1889-Harrison","1893-Cleveland","1897-McKinley","1901-McKinley","1905-Roosevelt","1909-Taft","1913-Wilson","1917-Wilson","1921-Harding","1925-Coolidge","1929-Hoover","1933-Roosevelt","1937-Roosevelt","1941-Roosevelt","1945-Roosevelt","1949-Truman","1953-Eisenhower","1957-Eisenhower","1961-Kennedy","1965-Johnson","1969-Nixon","1973-Nixon","1977-Carter","1981-Reagan","1985-Reagan","1989-Bush","1993-Clinton","1997-Clinton","2001-Bush","2005-Bush","2009-Obama","2013-Obama","2017-Trump","2021-Biden"
"order",0.531404066644476,0,1.06280813328895,0.265702033322238,0.797106099966715,0,0,0.265702033322238,1.32851016661119,0,0,0,0.265702033322238,0,0,0,0,0,0.265702033322238,0,0,0,0.531404066644476,0.531404066644476,0.265702033322238,1.32851016661119,0,0.531404066644476,1.32851016661119,0,1.59421219993343,0.265702033322238,0.531404066644476,2.65702033322238,0.531404066644476,0.531404066644476,0.531404066644476,0.797106099966715,0,0,0.531404066644476,0,0,0.265702033322238,0.265702033322238,0.265702033322238,0.265702033322238,0,0.265702033322238,0,0,0.265702033322238,0,0.265702033322238,0.265702033322238,0.265702033322238,0,0,0
"receive",0.469822015978163,0,0,0,0,0,0.939644031956326,0.469822015978163,0.939644031956326,0.469822015978163,0,0,1.40946604793449,1.40946604793449,0,0.469822015978163,0,0.469822015978163,0,0,0.469822015978163,1.40946604793449,0,0.469822015978163,0.469822015978163,0,0,0.469822015978163,0,0,0.469822015978163,0,0,0.469822015978163,0,0.469822015978163,0,0.469822015978163,0,0,0.469822015978163,0,0.939644031956326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"day",0.274767112125115,0,0.137383556062558,0.137383556062558,0.137383556062558,0,0,0.137383556062558,0,0,0,0.137383556062558,0.137383556062558,0.412150668187673,0,0.412150668187673,0.274767112125115,0.274767112125115,0,0,0.137383556062558,0.274767112125115,0,0.137383556062558,0,0.274767112125115,0.137383556062558,0.137383556062558,0.137383556062558,0.274767112125115,0.137383556062558,0.412150668187673,0.137383556062558,0,0.137383556062558,0,0.549534224250231,0.686917780312788,0.549534224250231,0.274767112125115,0,0.412150668187673,0.137383556062558,0.274767112125115,0.412150668187673,0.274767112125115,0.137383556062558,0.137383556062558,0.824301336375346,0.549534224250231,1.23645200456302,0,0.412150668187673,0.274767112125115,0.961684892437904,0.686917780312788,0,0.549534224250231,1.64860267275069
"present",0.95534207512667,0.191068415025334,0.764273660101336,0,0.573205245076002,0.382136830050668,0.191068415025334,0.95534207512667,0.573205245076002,0.191068415025334,0.382136830050668,0.382136830050668,1.52854732020267,0.95534207512667,0.764273660101336,0.191068415025334,0.95534207512667,0.95534207512667,0.95534207512667,0.191068415025334,0,0.573205245076002,0.382136830050668,0.382136830050668,0,0,0.382136830050668,1.146410490152,0.191068415025334,0,0.764273660101336,0,0.191068415025334,0.191068415025334,0.191068415025334,0.191068415025334,0.382136830050668,0.191068415025334,0.382136830050668,0,0,0,0,0.191068415025334,0,0,0.191068415025334,0,0.573205245076002,0,0,0,0,0.191068415025334,0,0,0,0,0.191068415025334
"one",0.21939467202938,0,0.054848668007345,0.32909200804407,0.054848668007345,0.10969733601469,0.10969733601469,0.10969733601469,0.32909200804407,0.21939467202938,0,0,0.32909200804407,1.48091403619832,1.04212469213956,0,0.274243340036725,0.164546004022035,0.822730020110175,0.10969733601469,0.21939467202938,0.21939467202938,0.274243340036725,0.21939467202938,0.10969733601469,0.054848668007345,0.054848668007345,0.32909200804407,0,0.054848668007345,0.43878934405876,0.10969733601469,0,0.383940676051415,0.603335348080795,0.164546004022035,0.164546004022035,0.21939467202938,0,0.054848668007345,0.054848668007345,0.274243340036725,0.10969733601469,0.054848668007345,0.274243340036725,0.383940676051415,0.274243340036725,0.10969733601469,0.43878934405876,0.76788135210283,0.10969733601469,0.054848668007345,0.54848668007345,0.054848668007345,0.493638012066105,0.10969733601469,0.32909200804407,0.493638012066105,0.822730020110175
"hand",0.858198043499428,0,0,0,0.214549510874857,0,0.214549510874857,0.643648532624571,0,0.643648532624571,0.214549510874857,0.429099021749714,1.07274755437428,1.93094559787371,1.28729706524914,0,0.429099021749714,0,0.858198043499428,0,0,0,0.214549510874857,0.429099021749714,0,0,0,0,0.643648532624571,0.214549510874857,1.501846576124,0.429099021749714,0.214549510874857,0,0.429099021749714,0,0.858198043499428,0.214549510874857,0.214549510874857,0,0,0.214549510874857,0,0.858198043499428,0.429099021749714,0.429099021749714,0,0,0.214549510874857,0.643648532624571,1.71639608699886,0.214549510874857,0.429099021749714,0,0.214549510874857,0.429099021749714,0,0.214549510874857,0.214549510874857
"summon",1.63321900440564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816609502202819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816609502202819,0,0.816609502202819,0,0,0,0,0,0,0,2.44982850660846,0,1.63321900440564,0,1.63321900440564,0,0,0,0,0.816609502202819,1.63321900440564,0,0,0,0,0,0,0
"country",0.113319923179719,0.0226639846359438,0.203975861723494,0.0679919539078314,0.113319923179719,0.113319923179719,0.135983907815663,0.249303830995382,0.18131187708755,0.203975861723494,0.0453279692718876,0.0679919539078314,0.339959769539157,0.521271646626707,0.407951723446988,0.135983907815663,0.135983907815663,0.203975861723494,0.0679919539078314,0,0.18131187708755,0.18131187708755,0.453279692718876,0.0453279692718876,0.0679919539078314,0.158647892451606,0.0226639846359438,0.339959769539157,0.0679919539078314,0.0226639846359438,0.271967815631325,0.0226639846359438,0,0.113319923179719,0.453279692718876,0.203975861723494,0.0226639846359438,0.0453279692718876,0.0226639846359438,0.0226639846359438,0.249303830995382,0.158647892451606,0.0226639846359438,0.0906559385437751,0.0226639846359438,0.0226639846359438,0.0679919539078314,0.0226639846359438,0.0679919539078314,0.0226639846359438,0.0679919539078314,0.0226639846359438,0,0.203975861723494,0.18131187708755,0.0453279692718876,0.135983907815663,0.271967815631325,0.0906559385437751
"whose",0.616908027486376,0,0,0.616908027486376,0.925362041229564,0.616908027486376,0.308454013743188,0.308454013743188,1.85072408245913,0,0.925362041229564,0,1.54227006871594,1.23381605497275,1.23381605497275,0.308454013743188,0,0.308454013743188,0.308454013743188,0,0,0,0.616908027486376,0.616908027486376,0,1.54227006871594,0.616908027486376,0.308454013743188,0,0,0.616908027486376,0,0,0,0,0.308454013743188,0,0.616908027486376,0,0,0.616908027486376,0,0,0.308454013743188,0,0,0,0,0.925362041229564,0,0,0.616908027486376,0.925362041229564,0.308454013743188,0,0.308454013743188,0,0,0
"voice",0.711757327342652,0.355878663671326,0.355878663671326,0.355878663671326,0,0,0.355878663671326,0,0,0.355878663671326,0,0,0,0,0,0.355878663671326,0.711757327342652,0.355878663671326,0,0,0,0,0.355878663671326,0.711757327342652,0,0.355878663671326,0,0.355878663671326,0,0,0,0,0,0,0.355878663671326,0,0,1.06763599101398,0.355878663671326,0,0.355878663671326,0,0.355878663671326,0,0,3.20290797304194,0,0,0,0.711757327342652,0.355878663671326,0.711757327342652,0.355878663671326,0,0.355878663671326,0,0.355878663671326,0.355878663671326,0
"never",0.197508307412853,0,0.0987541537064267,0.0987541537064267,0,0.0987541537064267,0.197508307412853,0.29626246111928,0.197508307412853,0,0.0987541537064267,0.197508307412853,0.790033229651414,1.08629569077069,0,0,0.395016614825707,0.59252492223856,0.691279075944987,0,0.0987541537064267,0.0987541537064267,0.0987541537064267,0.29626246111928,0.0987541537064267,0.197508307412853,0,0.0987541537064267,0,0.0987541537064267,0.395016614825707,0.0987541537064267,0.0987541537064267,1.18504984447712,0.493770768532134,0,0.197508307412853,0.0987541537064267,0.0987541537064267,0.0987541537064267,0.197508307412853,0.29626246111928,0.197508307412853,0.29626246111928,0.0987541537064267,0,0,0.197508307412853,0.29626246111928,0.29626246111928,0.0987541537064267,0,0.29626246111928,0.493770768532134,0.0987541537064267,0.197508307412853,0.197508307412853,0.59252492223856,0.29626246111928
"hear",0.594760752586463,0,0,0,0.594760752586463,0,0,0,0,1.18952150517293,0,0,0,0,0,0,0,0.594760752586463,0,0,0,0,0,0,0,0.594760752586463,0,0,0,0,0,0,0,0,0,0,0,0.594760752586463,0.594760752586463,0,0,0,0,0,0,2.37904301034585,0,0,0.594760752586463,0.594760752586463,1.18952150517293,1.18952150517293,0,0,0,0,1.18952150517293,1.18952150517293,2.37904301034585
"love",0.478746189199778,0,1.19686547299945,0.478746189199778,0.239373094599889,0,0,0,0.239373094599889,0,0,0,0,0.718119283799667,0,0.239373094599889,0,0.718119283799667,0.239373094599889,0,0,0,0.239373094599889,0.239373094599889,0.239373094599889,0.718119283799667,0.239373094599889,0.478746189199778,0.239373094599889,0,0,0.239373094599889,0.239373094599889,0.239373094599889,0.239373094599889,0.239373094599889,0,0,0,0,0,0.478746189199778,0.478746189199778,0.239373094599889,0,0.239373094599889,0,0.239373094599889,0.718119283799667,0.478746189199778,1.43623856759933,0,0,0.478746189199778,0.478746189199778,0,0.239373094599889,0.239373094599889,0.957492378399556
"choose",0.355878663671326,0,0,0.355878663671326,0,0,0,0.355878663671326,0,0,0,0,0.355878663671326,0,1.06763599101398,0.355878663671326,0,0,1.06763599101398,0,0,0.355878663671326,0.355878663671326,0,0.355878663671326,0,0.711757327342652,0.355878663671326,0,0,0,0.355878663671326,0.355878663671326,0,0.355878663671326,0.355878663671326,0,0.355878663671326,0,0,0,0.355878663671326,0,0,0,0.355878663671326,0,0,0,0,0.711757327342652,0.355878663671326,0.711757327342652,0.355878663671326,1.4235146546853,0.711757327342652,0.355878663671326,0,0
"hope",0.10969733601469,0,0.054848668007345,0.10969733601469,0,0.054848668007345,0,0,0.054848668007345,0.21939467202938,0.10969733601469,0,0.493638012066105,0.21939467202938,0.10969733601469,0.164546004022035,0.383940676051415,0.054848668007345,0.164546004022035,0.10969733601469,0.054848668007345,0,0.054848668007345,0.10969733601469,0.054848668007345,0.164546004022035,0.10969733601469,0.054848668007345,0.054848668007345,0,0.603335348080795,0.10969733601469,0.054848668007345,0.21939467202938,0.383940676051415,0.274243340036725,0.054848668007345,0.10969733601469,0.164546004022035,0.054848668007345,0.21939467202938,0.493638012066105,0.43878934405876,0.21939467202938,0.21939467202938,0.274243340036725,0.10969733601469,0.10969733601469,0.21939467202938,0.164546004022035,0.383940676051415,0.10969733601469,0.10969733601469,0.10969733601469,0.383940676051415,0.164546004022035,0.10969733601469,0.054848668007345,0.164546004022035
"decision",0.409124175624551,0,0,0.409124175624551,0.409124175624551,0.409124175624551,0,0,1.22737252687365,0,0,0,0,0.818248351249103,0,0.409124175624551,0.409124175624551,0.409124175624551,1.6364967024982,0,0,0,0.818248351249103,0,0,0.409124175624551,0,0,0,0,0,0,0,0.409124175624551,0.409124175624551,0,0.409124175624551,0.409124175624551,0,0,0,0,0,0,0,0,0.409124175624551,0,0.409124175624551,0.409124175624551,0.409124175624551,0,0,0,0,0.409124175624551,0.409124175624551,0.409124175624551,0
"year",0.089610774266557,0,0.448053871332785,0,0.358443097066228,0,0,0.179221548533114,0.89610774266557,0.716886194132456,0,0.089610774266557,0.268832322799671,0.537664645599342,0.179221548533114,0,0.089610774266557,0.179221548533114,0.358443097066228,0.358443097066228,0.358443097066228,0.268832322799671,0.179221548533114,0.358443097066228,0.089610774266557,0.268832322799671,0,0.985718516932127,0.358443097066228,0,0.448053871332785,0.268832322799671,0.268832322799671,0,0.268832322799671,0.179221548533114,0.089610774266557,0.448053871332785,0.627275419865899,0.179221548533114,0.179221548533114,0,0.089610774266557,0.179221548533114,0.268832322799671,0.537664645599342,0.806496968399013,0.179221548533114,0.179221548533114,0.716886194132456,0.179221548533114,0,0.268832322799671,0.179221548533114,0.268832322799671,0.268832322799671,0.448053871332785,0.179221548533114,0.358443097066228
"render",1.31381731867061,0,0,0,0.656908659335307,1.31381731867061,1.31381731867061,1.31381731867061,0,0.656908659335307,0.656908659335307,0,0,0.656908659335307,0,0,0.656908659335307,0,0,0,0,0.656908659335307,0,0,0,0,0,0,0,0,0.656908659335307,0,0,0.656908659335307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656908659335307,0,0,0,0,0,0,0,0,0
"every",0.493638012066105,0,0.274243340036725,0.10969733601469,0.21939467202938,0.10969733601469,0.274243340036725,0.76788135210283,0.713032684095485,0.274243340036725,0.054848668007345,0,1.0969733601469,0.713032684095485,0.603335348080795,0.054848668007345,0.493638012066105,0.274243340036725,0.21939467202938,0.10969733601469,0.32909200804407,0.054848668007345,0.32909200804407,0.21939467202938,0.274243340036725,0.274243340036725,0.493638012066105,0.65818401608814,0.164546004022035,0.164546004022035,0.43878934405876,0.43878934405876,0,0.21939467202938,0.21939467202938,0.164546004022035,0.21939467202938,0.21939467202938,0.164546004022035,0,0.10969733601469,0.21939467202938,0,0.10969733601469,0.32909200804407,0,0.383940676051415,0,0.10969733601469,0.274243340036725,0.054848668007345,0.164546004022035,0.603335348080795,0.32909200804407,0.54848668007345,0.43878934405876,0.383940676051415,0.383940676051415,0.10969733601469
"much",0.365871865774804,0,0.487829154366406,0.182935932887402,0.121957288591601,0.213425255035302,0.182935932887402,0.518318476514306,0.579297120810107,0.487829154366406,0.0914679664437011,0.0914679664437011,0.426850510070605,1.31104085235972,0.518318476514306,0.121957288591601,0.335382543626904,0.426850510070605,0.426850510070605,0.0304893221479004,0.0914679664437011,0,0,0.335382543626904,0.0914679664437011,0.487829154366406,0.213425255035302,0.731743731549608,0.243914577183203,0.182935932887402,0.701254409401708,0.182935932887402,0.365871865774804,0.182935932887402,1.12810491947231,0.85370102014121,0.152446610739502,0.213425255035302,0.304893221479004,0,0.365871865774804,0.274403899331103,0.182935932887402,0.152446610739502,0.243914577183203,0.365871865774804,0.396361187922705,0.152446610739502,0.182935932887402,0.487829154366406,0.213425255035302,0.274403899331103,0.274403899331103,0.243914577183203,0.152446610739502,0.274403899331103,0.304893221479004,0.0609786442958007,0.518318476514306
"necessary",0.616908027486376,0,0.925362041229564,0.616908027486376,0.308454013743188,0,0.925362041229564,0.925362041229564,2.15917809620232,0,0,0,0.925362041229564,2.4676321099455,0.925362041229564,0.616908027486376,0.308454013743188,1.85072408245913,0.616908027486376,0,0.925362041229564,0,0,0.616908027486376,0,1.85072408245913,0.616908027486376,0.616908027486376,0.308454013743188,0,3.08454013743188,0,0,0.308454013743188,1.85072408245913,0,0,0.308454013743188,0,0,0,0,0,0,0,0,0,0.308454013743188,0,0,0,0.308454013743188,0.308454013743188,0.308454013743188,0.616908027486376,0,0,0,0
"good",0.0371200903960344,0,0.0890882169504825,0.0742401807920687,0.059392144633655,0.059392144633655,0.00742401807920687,0.111360271188103,0.0965122350296894,0.0222720542376206,0.0296960723168275,0.0296960723168275,0.0519681265544481,0.207872506217792,0.059392144633655,0.0148480361584137,0.0890882169504825,0.0816641988712756,0.0965122350296894,0.00742401807920687,0.0668161627128619,0.0816641988712756,0.0890882169504825,0.0668161627128619,0.059392144633655,0.133632325425724,0.0519681265544481,0.111360271188103,0.0519681265544481,0.0371200903960344,0.111360271188103,0.0668161627128619,0.0148480361584137,0.0965122350296894,0.0890882169504825,0.0296960723168275,0.0519681265544481,0.0890882169504825,0.0148480361584137,0.00742401807920687,0.0371200903960344,0.0296960723168275,0.0222720542376206,0.059392144633655,0.0148480361584137,0.059392144633655,0.0742401807920687,0.0519681265544481,0.0445441084752412,0.0816641988712756,0.111360271188103,0.0445441084752412,0.0519681265544481,0.059392144633655,0.0519681265544481,0.0519681265544481,0.0371200903960344,0.0148480361584137,0.0816641988712756
"habit",0.691670765594519,0,0,0,2.07501229678356,0,0.691670765594519,0,0,0.691670765594519,0.691670765594519,0,0.691670765594519,0,0.691670765594519,0,0,0,0,0,0,0,0,0,0.691670765594519,0,0,0,0,0,0,0.691670765594519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691670765594519,0,0,1.38334153118904,0.691670765594519,0,0,0
"health",0.624723975963906,0,0,0,0,0,0,0,0,0,0,0,0,1.24944795192781,0,0,0,0,0,0,0,0,0,0,0,0,1.24944795192781,0,0,0,0,1.24944795192781,0,0,0,2.49889590385562,0,0,0,0,0,0.624723975963906,0,0,0,0,0.624723975963906,0,0,0,0,0.624723975963906,0.624723975963906,0.624723975963906,0.624723975963906,1.24944795192781,0.624723975963906,0,0.624723975963906
"waste",0.624723975963906,0,0,0,0,0,0,0,0.624723975963906,0,0,0,0,0,0,0,0.624723975963906,0,0,0,0,0,0,0.624723975963906,0.624723975963906,0,1.24944795192781,0.624723975963906,0.624723975963906,0,0.624723975963906,1.87417192789172,0,0.624723975963906,1.87417192789172,0,0,0,0,0,0,0,0,0,0.624723975963906,0,0,0,0,0,0,0,1.24944795192781,0,0,0,0,0,0
"commit",0.469822015978163,0,0.469822015978163,0.469822015978163,0,0,0,0.469822015978163,0.939644031956326,0.469822015978163,0,0,0.469822015978163,2.34911007989082,0.469822015978163,0.469822015978163,0,0,0,0,0,0.469822015978163,0,0.469822015978163,0.469822015978163,0,0,0.469822015978163,0.469822015978163,0,0,0,0,0,0.469822015978163,0.469822015978163,0,0,0,0,0,0,0,0.939644031956326,0,0.939644031956326,0,0,0,0,0,0,0,0,0,0,0.469822015978163,0,0
"time",0.0384582518191757,0,0.115374755457527,0,0.230749510915054,0.0384582518191757,0,0.192291259095878,0.307666014553405,0.230749510915054,0.0384582518191757,0.0769165036383513,0.26920776273423,0.423040770010932,0.192291259095878,0.0384582518191757,0.26920776273423,0.26920776273423,0.192291259095878,0.0384582518191757,0,0.115374755457527,0.26920776273423,0.230749510915054,0.153833007276703,0.153833007276703,0.0384582518191757,0.230749510915054,0.115374755457527,0,0.307666014553405,0.0384582518191757,0.115374755457527,0.0384582518191757,0.153833007276703,0.115374755457527,0.192291259095878,0.115374755457527,0.0769165036383513,0.0384582518191757,0.153833007276703,0.192291259095878,0.230749510915054,0.0769165036383513,0.153833007276703,0.26920776273423,0.26920776273423,0.192291259095878,0.346124266372581,0.499957273649284,0.346124266372581,0.26920776273423,0.499957273649284,0.26920776273423,0.307666014553405,0.230749510915054,0.423040770010932,0.0769165036383513,0.153833007276703
"difficulty",0.492098410689315,0,0,0.98419682137863,0,1.47629523206795,0,0.98419682137863,0.492098410689315,0.492098410689315,0,0.492098410689315,1.47629523206795,2.95259046413589,0.492098410689315,0,0,0.492098410689315,0.98419682137863,0,0,0,0,0,0,1.47629523206795,0,0.98419682137863,0.492098410689315,0,0,0,0,0,0.492098410689315,0,0.492098410689315,0,0,0,0,0,0,0,0,0,0,0,0,0.492098410689315,0,0,0,0,0.492098410689315,0,0,0,0
"trust",0.382136830050668,0,0,0.764273660101336,0.382136830050668,0.382136830050668,0.191068415025334,0.764273660101336,0.764273660101336,0.382136830050668,0.382136830050668,0,1.146410490152,0.764273660101336,0,0.191068415025334,0.382136830050668,0.382136830050668,0.382136830050668,0.191068415025334,0.382136830050668,0.191068415025334,0.573205245076002,0.191068415025334,0.573205245076002,0.191068415025334,0.191068415025334,0.573205245076002,0.191068415025334,0,0,0.191068415025334,0,0,0,0.191068415025334,0.382136830050668,0,0,0,0,0.382136830050668,0,0,0.191068415025334,0,0.191068415025334,0.382136830050668,0,0.382136830050668,0,0,0.191068415025334,0.382136830050668,0.191068415025334,0.382136830050668,0,0,0.191068415025334
"call",0.179221548533114,0.089610774266557,0.089610774266557,0.268832322799671,0.268832322799671,0.089610774266557,0.268832322799671,0.268832322799671,0.268832322799671,0.179221548533114,0.089610774266557,0.179221548533114,0.179221548533114,0.627275419865899,0,0.268832322799671,0.268832322799671,0.089610774266557,0.089610774266557,0.089610774266557,0,0.268832322799671,0.179221548533114,0,0.089610774266557,0.268832322799671,0.089610774266557,0.179221548533114,0,0.089610774266557,0.358443097066228,0.089610774266557,0,0.627275419865899,0,0.179221548533114,0.179221548533114,0.179221548533114,0.089610774266557,0,0,0.268832322799671,0.268832322799671,0.358443097066228,0.179221548533114,0.179221548533114,0,0,0.448053871332785,0.179221548533114,0.179221548533114,0.448053871332785,0.089610774266557,0.537664645599342,0.179221548533114,0.179221548533114,0.089610774266557,0,0.268832322799671
